2012,Baden Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein Westpfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
,,,,,,,,,,,,,,,,
students 2012,330155,332764,160145,51857,34383,91546,215209,39827,170164,644320,119857,28415,112191,55251,54935,53234
female,153154,160758,78764,26287,16059,44446,99862,19670,81114,299506,60298,14006,50348,27124,25793,25749
1.year 2012,67912,64027,24436,8943,6805,13879,32916,6141,31321,101960,17032,5047,18580,8957,8763,9559
female,32171,31736,12908,4657,3097,7039,16663,3094,15720,49393,8722,2605,8585,4502,4217,4794
,,,,,,,,,,,,,,,,
Maths,64322,59654,26440,8437,6747,10284,41592,6986,29637,123945,21967,4238,16393,7345,11663,7455
female,23271,22595,9286,3153,2587,3610,15171,2901,11903,44614,8768,1374,5432,2789,4107,2679
economics,98721,103831,43586,18227,10331,34675,62529,12422,50950,200927,39367,8537,27906,17689,16924,13520
female,51774,55725,23825,9718,5128,15859,31345,6321,26916,98822,19886,4210,14803,9828,7895,7495
languages,55853,59654,29208,11370,5173,16946,37679,7744,25815,139436,28685,5324,20088,8968,9087,11569
female,39952,43323,20088,8238,3650,11472,25597,5202,19028,96388,20564,3739,13926,6274,6302,8290
medicine/sport,21958,21697,10422,1128,2306,9407,16499,4637,10001,35003,7254,6056,8478,4913,4906,3565
female,12896,13509,6462,470,1620,6247,9967,2756,6323,20518,4066,3418,5113,2969,2965,2119
engineering,71763,68512,34870,9379,6479,14573,43427,5568,37769,121054,18332,3125,31231,11104,7902,13548
female,14658,13805,9104,2839,1265,3418,9424,1114,7476,24532,4432,629,6224,2243,1748,3098
education,37125,40621,8578,4150,2372,6164,21716,5006,8794,59059,18192,2315,7112,2728,4184,3637
female,25932,28094,5268,2709,1689,4226,13482,3081,6583,38144,11498,1439,4807,1686,2571,2120
rest,17538,19498,15619,3316,3347,5661,13794,2470,15992,23955,4252,1135,8095,5232,4453,3577
female,10603,11801,9999,1869,1809,3840,8850,1376,9468,14632,2582,636,4850,3021,2776,2068
,,,,,,,,,,,,,,,,
Wissenschaftliches Personal,65921,55961,24225,6517,4323,11744,24792,6238,26373,66259,13416,4191,19161,7928,7085,9556
Verwaltungs Personal,44146,42811,17228,2744,1828,9261,21948,7500,23878,55427,11623,5970,16357,9483,8861,7266
writtenexams,62226,61573,27754,9067,6293,14961,31943,6515,30938,85280,20407,3295,31853,9675,10268,11290
studentsperinstitution,4287,6524,5165,4321,4911,4161,7173,3982,6302,9074,7050,5683,5099,6139,4225,4094
supervisionratio,51,59,66,80,80,77,87,64,64,97,90,67,59,70,78,56
,,,,,,,,,,,,,,,,
Einnahmen,3476041,3592309,1718352,128894,211785,887890,1799006,571166,1743206,4529444,712324,436420,1240423,665898,962455,500905
3. Gelder,1136515,1024113,538317,111526,115570,237831,457935,102839,563331,1313353,192723,62016,479086,119531,142371,162750
,,,,,,,,,,,,,,,,
Mlanguages,289230,294390,131005,48645,22594,75529,169631,30514,144481,459486,105806,28872,102752,35320,31353,75990
Mmedicine/sport,3297032,3323286,1415592,6448,1067,728794,1215803,795525,1444635,4082989,649187,494031,983953,681356,1025599,438505
Meconomics,362297,400331,226171,77669,37382,131446,293539,33449,212991,546708,193753,25072,95162,45406,48638,64233
Mmaths,797406,825476,245716,91256,100245,184500,384571,91982,332165,1020490,241880,65218,262920,74814,93635,162456
Mengineering,607947,544019,213781,74869,57858,176794,267298,53528,363807,869260,118666,18051,415348,86645,48531,105091
Mrest,179950,226984,122470,23601,11997,39605,110482,25594,193246,211558,29241,7006,82567,28552,36288,27834
